127.0.0.1 - - [01/Jun/2021:23:48:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:48:44 +0530] "GET /Notifier/login.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:48:49 +0530] "GET /Notifier/register.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:49:16 +0530] "POST /Notifier/Register HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:50:09 +0530] "POST /Notifier/Register HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:51:10 +0530] "GET /Notifier/login.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:51:13 +0530] "GET /Notifier/register.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:51:31 +0530] "POST /Notifier/Register HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:53:14 +0530] "GET /Notifier/login.jsp HTTP/1.1" 200 1032
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:53:17 +0530] "GET /Notifier/register.jsp HTTP/1.1" 200 1280
0:0:0:0:0:0:0:1 - - [01/Jun/2021:23:53:37 +0530] "POST /Notifier/Register HTTP/1.1" 200 16
